state,city,project_name,domain,status,amount_raw,amount_usd,description
Minnesota,Inner grove,"Outdoor Recreation Acquisition, Development and Planning",Transport Emissions,In Progress,"$500,000",500000.0,"This project involves the acquisition, development, and planning of outdoor recreation facilities, which can include pedestrian paths and bike lanes, promoting active transport."
Minnesota,Hopkins,Southwest Light Rail Transit,Transport Emissions,In Progress,Not stated,,"A fourteen-mile light rail line with three stops in Hopkins, serving as public transit."
Minnesota,Hopkins,GO Street Reconstruction 2024A,Transport Emissions,In Progress,"$615,000",615000.0,This bond was issued to provide funds for street reconstruction.
Minnesota,Hopkins,"G.O. Improvement Bonds, Series 2024A",Transport Emissions,In Progress,"$2,945,000",2945000.0,This bond was used to finance street reconstruction and major capital improvements to buildings.
Minnesota,Hopkins,2025/2026 street and utility reconstruction project in Central Avenues,Transport Emissions,Planned,Not stated,,This project involves the first phase of street and utility reconstruction in Central Avenues.
Minnesota,Hopkins,2025 Water & Sewer SCADA Fiber Project,Energy Efficiency,Planned,Not stated,,This project aims to improve the efficiency of water and sewer infrastructure through a SCADA fiber system.
Minnesota,Hopkins,Acquisition of capital assets (Refuse Utility Fund),Waste Management,Completed,"$(5,784)",5784.0,Acquisition of capital assets for the city's refuse service operations.
Minnesota,Hopkins,2024A G.O. Street Reconstruction Bonds,Transport Emissions,Completed,"$3,560,000",3560000.0,"General obligation bonds issued to fund street reconstruction projects, which may include pedestrian paths, bike lanes, or signal modernization."
Minnesota,Hopkins,Residential Recycling Program,Waste Management,In Progress,Not stated,,"The city operates an ongoing program for residential recycling, evidenced by collected material tonnage and associated rates across multiple fiscal years."
Minnesota,Hopkins,Organics Collection Program,Waste Management,In Progress,Not stated,,"The city operates an ongoing program for organics waste collection, indicated by the listed rates for this service across multiple fiscal years."
Minnesota,Maplewood,Replacement of vehicles and equipment (under Fleet Management Fund),Transport Emissions,Planned,"$3,246,700",3246700.0,"A planned investment for the replacement of vehicles and equipment, which can include fleet electrification to reduce transport emissions."
Minnesota,Maplewood,Vehicle and equipment purchases for the Police and Fire Departments,Transport Emissions,Planned,Not stated,,"An ongoing levy for future vehicle and equipment purchases for public safety, potentially including fleet electrification to reduce transport emissions."
Minnesota,Maplewood,Five major street projects,Transport Emissions,Planned,more than $41.24 million,41240000.0,"Proposed major street projects that could incorporate infrastructure for reducing transport emissions, such as bike lanes, pedestrian paths, or signal modernization."
Minnesota,Maplewood,Replacement of two ambulances,Transport Emissions,Planned,Not stated,,"Planned replacement of two ambulances, which could involve the acquisition of electric vehicles to contribute to fleet electrification and reduce transport emissions."
Minnesota,Maplewood,Recycling Program,Waste Management,In Progress,Not stated,,An ongoing program financed by recycling charges to cover recycling costs and public education on solid waste reduction and recycling.
Minnesota,Maplewood,Governmental Building Acquisitions and Improvements,Energy Efficiency,Completed,"$11,815,363",11815363.0,"Acquisition of new buildings and significant improvements to existing governmental buildings, which likely incorporate energy efficiency upgrades like HVAC systems or insulation."
Minnesota,Maplewood,Governmental Fleet Vehicle Acquisition,Transport Emissions,Completed,"$2,176,916",2176916.0,"Acquisition of new vehicles for the city's governmental fleet, which may include electrification efforts to reduce transport emissions."
Minnesota,Maplewood,Governmental Infrastructure Capitalization,Transport Emissions,Completed,"$6,443,979",6443979.0,"Capitalization of new infrastructure assets for governmental activities, potentially including transport-related improvements such as bike lanes, pedestrian paths, or signal modernization."
Minnesota,Maplewood,Tree Removal Program Fund,Waste Management,In Progress,"$16,657",16657.0,"This program assists property owners with the removal of EAB infected trees, managing the resulting organic waste."
Minnesota,Maplewood,Fleet Capital Asset Acquisition,Transport Emissions,Completed,"$305,387",305387.0,"This project involved the acquisition of new vehicles and major equipment for the city's fleet, supporting fleet modernization and potential electrification efforts to reduce transport emissions."
Minnesota,Maplewood,Street Light Utility Operations,Energy Efficiency,In Progress,"$202,622",202622.0,"This ongoing utility manages the city's street lighting infrastructure, with potential for energy efficiency upgrades like LED conversions to reduce energy consumption."
Minnesota,Mankato,upgrade to the City of Mankato Water Resource Recovery Facility,Waste Management,In Progress,"$12,600,000",12600000.0,"This project involves upgrading a facility responsible for processing wastewater, which is a key component of waste management."
Minnesota,Mankato,Riverfront Drive improvements,Transport Emissions,Completed,"$3,367,335",3367335.0,"This project involved improvements to Riverfront Drive, funded by a US Department of Transportation grant, which falls under transport infrastructure."
Minnesota,Mankato,2024 Capital Investment Plan Projects,Transport Emissions,In Progress,"$14,583,569",14583569.0,"This encompasses ongoing construction projects including infrastructure in new residential developments, street reconstruction, street overlays, alley improvements, and critical link sidewalks."
Minnesota,Mankato,"Airport airside, taxiway and runway improvements, and air traffic control tower",Transport Emissions,Completed,"$612,884",612884.0,"This project includes improvements to airport airside, taxiway, and runway infrastructure, along with the air traffic control tower, funded by state aid."
Minnesota,Mankato,Water Resource Reclamation Facility project improvements,Waste Management,In Progress,"$10,615,308",10615308.0,"This project involves ongoing improvements to the Water Resource Reclamation Facility, which is critical for wastewater treatment."
Minnesota,Mankato,Energy Improvements,Energy Efficiency,In Progress,"$432,241",432241.0,"This capital projects fund accounts for projects aimed at improving energy efficiency, currently showing a deficit."
Minnesota,Mankato,WRRF - Disinfection & Digestion,Waste Management,In Progress,"Spent-to-Date $9,965,940, Remaining Commitment $74,771,910",84737850.0,"This project involves disinfection and digestion processes at a Wastewater Reclamation and Recovery Facility, which are core components of waste management."
Minnesota,Mankato,2023 Sidewalks,Transport Emissions,In Progress,"Spent-to-Date $163,707, Remaining Commitment $8,616",172323.0,"This project involves the construction of sidewalks, which supports pedestrian infrastructure and reduces transport emissions."
Minnesota,Mankato,2024 Resurfacing & Sidewalks,Transport Emissions,In Progress,"Spent-to-Date $1,166,837, Remaining Commitment $61,412",1228249.0,"This project includes sidewalk construction, which supports pedestrian infrastructure and reduces transport emissions."
Minnesota,Mankato,Viking Ravine Lift Station,Waste Management,In Progress,"Spent-to-Date $530,917, Remaining Commitment $149,432",680349.0,"This project involves a lift station, which is part of the wastewater collection infrastructure for waste management."
Minnesota,Mankato,WRF Roof Project,Waste Management,In Progress,"Spent-to-Date $74,397, Remaining Commitment $82,229",156626.0,"This project involves roof maintenance for a Wastewater Reclamation Facility, which is a key component of waste management infrastructure."
Minnesota,Mankato,Lake Street Pumping Facility,Waste Management,In Progress,"Spent-to-Date $407,510, Remaining Commitment $787,530",1195040.0,"This project involves a pumping facility, which is a critical part of the wastewater collection and transport system for waste management."
Minnesota,Mankato,Bus Stop Improvements,Transport Emissions,In Progress,"Spent-to-Date $132,622, Remaining Commitment $137,303",269925.0,"This project involves improvements to bus stops, which enhances public transit infrastructure and reduces transport emissions."
Minnesota,Mankato,Energy Improvements (for energy savings payoff),Energy Efficiency,Completed,"$58,365 (to Debt Service) and $41,635 (to Energy Improvements funds)",100000.0,"This transfer is for an energy improvements fund and an energy savings payoff, indicating a project focused on energy efficiency."
Minnesota,Mankato,"Timberwolf Drive pedestrian crossing, sidewalks and resurfacing projects",Transport Emissions,In Progress,"$770,555",770555.0,"This project includes a pedestrian crossing and sidewalks, which enhance pedestrian infrastructure and reduce transport emissions."
Minnesota,Mankato,SE Water Quality,Waste Management,In Progress,"$500,000",500000.0,"This project is for SE Water Quality, which is related to managing water resources and can involve wastewater or stormwater treatment."
Minnesota,Mankato,Recycling and Refuse Carts Financed Purchase Arrangement,Waste Management,Completed,"$1,255,000",1255000.0,"This agreement financed the purchase of recycling and refuse carts, which are essential for waste collection and recycling programs."
Minnesota,Mankato,Downtown Special Services District Sidewalk Maintenance,Transport Emissions,In Progress,Not stated,,"This fund accounts for expenditures including sidewalk maintenance within the downtown area, which supports pedestrian paths."
Minnesota,Mankato,Refuse,Waste Management,In Progress,"$2,299,053",2299053.0,"Accounts for the costs associated with refuse collection and disposal, funded by monthly user fees."
Minnesota,Mankato,Street Lighting,Energy Efficiency,In Progress,"$675,036",675036.0,Accounts for costs associated with the maintenance and electrical use of the street lighting system.
Minnesota,Mankato,Lighting/plantings/sidewalk,Transport Emissions,Completed,"$542,313",542313.0,"This project includes the development of sidewalks, which are pedestrian paths."
Minnesota,Mankato,Streets and Sidewalks,Transport Emissions,In Progress,"$216,403",216403.0,"This project involves the construction of sidewalks, which are pedestrian paths."
Minnesota,Mankato,City - Streets and Sidewalks,Transport Emissions,Planned,"$484,005",484005.0,"This project includes the development of sidewalks, which are pedestrian paths."
Minnesota,Mankato,Developer - Streets and Sidewalks,Transport Emissions,Planned,"$288,748",288748.0,"This project includes the development of sidewalks, which are pedestrian paths."
Minnesota,cibudget_23_report,Sanitation,Waste Management,In Progress,"$13,325",13325.0,"Annual budget for ongoing waste management services, which may include recycling, composting, landfill, organic waste, and solid waste operations."
Minnesota,cibudget_23_report,Conservation of Natural Resources,Energy Efficiency,Planned,"$390,000",390000.0,"This new budget allocation for 2023 is for initiatives aimed at preserving and managing natural resources, which may include renewable energy or resource efficiency projects."
Minnesota,cibudget_23_report,Parkers Prairie Sanitation (2022),Waste Management,Unknown,"$15,720",15720.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Parkers Prairie Sanitation (2023),Waste Management,Unknown,"$43,770",43770.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Pemberton Sanitation (2022),Waste Management,Unknown,"$1,700",1700.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Pemberton Sanitation (2023),Waste Management,Unknown,"$3,500",3500.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Peterson Sanitation (2022),Waste Management,Unknown,"$2,850",2850.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Peterson Sanitation (2023),Waste Management,Unknown,"$1,400",1400.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Pine River Sanitation (2022),Waste Management,Unknown,"$9,300",9300.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Pine River Sanitation (2023),Waste Management,Unknown,"$6,600",6600.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Pine Springs Sanitation (2022),Waste Management,Unknown,"$5,400",5400.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Pine Springs Sanitation (2023),Waste Management,Unknown,"$5,400",5400.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Preston Sanitation (2022),Waste Management,Unknown,"$10,425",10425.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Preston Sanitation (2023),Waste Management,Unknown,"$10,425",10425.0,"Ongoing operational expenditures for waste management services, including recycling, composting, landfill, or solid waste."
Minnesota,cibudget_23_report,Rice Sanitation (2022),Waste Management,Unknown,Not stated,,
Minnesota,cibudget_23_report,Streets and Highways Capital Outlay (Sunfish Lake),Transport Emissions,Unknown,"$145,000",145000.0,Capital expenditure for the development or improvement of streets and highways to enhance transport infrastructure.
Minnesota,cibudget_23_report,Streets and Highways Capital Outlay (Swanville),Transport Emissions,Unknown,"$1,000",1000.0,Capital expenditure for the development or improvement of streets and highways to enhance transport infrastructure.
Minnesota,cibudget_23_report,Streets and Highways Capital Outlay (Taconite),Transport Emissions,Unknown,"$80,000",80000.0,Capital expenditure for the development or improvement of streets and highways to enhance transport infrastructure.
Minnesota,cibudget_23_report,Streets and Highways Capital Outlay (Tower),Transport Emissions,Unknown,Not stated,,
Minnesota,cibudget_23_report,"Sanitation (Unnamed City, Page 207)",Waste Management,Unknown,"$535,150",535150.0,Budget allocation for general waste management services.
Minnesota,cibudget_23_report,Sanitation (City: Waldorf),Waste Management,Unknown,$650,650.0,Budget allocation for general waste management services.
Minnesota,cibudget_23_report,Sanitation (City: Walnut Grove),Waste Management,Unknown,"$1,300",1300.0,Budget allocation for general waste management services.
Minnesota,cibudget_23_report,Sanitation (City: Walters),Waste Management,Unknown,"$6,000",6000.0,Budget allocation for general waste management services.
Minnesota,Minneapolis,Traffic Signals and Street Lighting,Transport Emissions,Completed,"$19,294",19294000.0,This project involved the construction of traffic signals and street lighting as key infrastructure assets for the City.
Minnesota,Minneapolis,Bike Trails,Transport Emissions,Completed,"$9,592",9592000.0,This project involved the construction of bike trails as key infrastructure assets for the City.
Minnesota,Minneapolis,Paving of City streets,Transport Emissions,Completed,"$73,359",73359.0,This project involved paving improvements to City streets.
Minnesota,Minneapolis,special assessment projects related to street reconstruction and resurfacing,Transport Emissions,In Progress,"$9,255",9255000.0,"These projects involve rebuilding and repaving streets, which can improve traffic flow and potentially support active transportation, thereby reducing transport emissions."
Minnesota,Minneapolis,Parade Ice & Other Facility Energy Improvements,Energy Efficiency,Completed,"7,000",7000000.0,Bonds issued in 2013 to fund energy improvements for Parade Ice and other facilities.
Minnesota,Minneapolis,Street Improvements,Transport Emissions,Completed,"17,050",17050000.0,"Bonds issued in 2018 to fund general street improvements, which may include elements reducing transport emissions."
Minnesota,Minneapolis,Nicollet Mall Improvement,Transport Emissions,Completed,"16,095",16095000.0,"Bonds issued in 2017 to fund improvements to Nicollet Mall, which may include pedestrian and bike infrastructure."
Minnesota,Minneapolis,Solid Waste and Recycling Initiatives,Waste Management,In Progress,"13,960",13960000.0,Bonds issued in 2018 to fund solid waste and recycling initiatives.
Minnesota,Minneapolis,Inflation Reduction Act Urban & Community Forestry Program,Energy Efficiency,In Progress,$87,87000.0,"This program funds urban and community forestry initiatives, which enhance energy efficiency by providing shade and reducing the urban heat island effect."
Minnesota,Minneapolis,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants Program,Transport Emissions,In Progress,$760,760000.0,"This grants program supports initiatives to strengthen mobility and revolutionize transportation, contributing to the reduction of transport emissions."
Minnesota,Minneapolis,"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",Transport Emissions,In Progress,$39,39000.0,"This program funds activities related to the Clean Air Act, which aims to reduce air pollution and emissions, including those from transportation."
Minnesota,Minneapolis,Streetlight Network Expansion,Energy Efficiency,Completed,Not stated,,"The city expanded its streetlight network by 707 units in 2024, likely incorporating energy-efficient lighting technology to reduce energy consumption."
Minnesota,Minneapolis,Sidewalks Expansion,Transport Emissions,Completed,Not stated,,"The city expanded its network of sidewalks by 1 mile between 2022 and 2023, enhancing pedestrian infrastructure and promoting non-vehicular transport."
Minnesota,Minnetonka,Southwest Light Rail Transit (LRT) project,Transport Emissions,In Progress,Not stated,,"This regional project involves the construction of a light rail transit system, which will connect suburbs to Minneapolis and St. Paul, reducing transport emissions."
Minnesota,Minnetonka,Roadway and infrastructure improvements in the Opus Area (related to LRT),Transport Emissions,Planned,nearly $25 million,25000000.0,This project involves additional funding for roadway and infrastructure improvements in the Opus Area to support the Southwest Light Rail Transit and continued redevelopment.
Minnesota,Minnetonka,Reconstruction of road around Ridgedale mall (with pedestrian and biking pathways),Transport Emissions,Completed,Not stated,,"The city completed reconstruction of the road around Ridgedale mall to include traffic circles, a landscaped boulevard, and extensive pedestrian and biking pathways."
Minnesota,Minnetonka,"Public trails, sidewalks and pedestrian features (system completion and improvement)",Transport Emissions,In Progress,Not stated,,"This long-range plan aims to complete and improve the city's trail and sidewalk system to enhance safety and sustainable transportation, with four more miles planned by 2028."
Minnesota,Minnetonka,Trail and park improvements (2024),Transport Emissions,Completed,$5.3 million,5300000.0,"This project involved $5.3 million in expenses for improving trails and parks, enhancing pedestrian mobility and recreational opportunities."
Minnesota,Minnetonka,Trail System Expansion Fund (capital outlay expenditures),Transport Emissions,In Progress,"$4,644,041",4644041.0,"The Trail System Expansion Fund incurred $4,644,041 in capital outlay expenditures in 2024 for expanding the city's trail system."
Minnesota,Minnetonka,Hopkins Crossroad Trail project,Transport Emissions,In Progress,approximately $4.1 million,4100000.0,"This project, costing approximately $4.1 million, contributed to the increase in capital assets by focusing on trail development for pedestrian and bike use."
Minnesota,Minnetonka,Other park and trail improvements (2024),Transport Emissions,Completed,$1.1 million,1100000.0,"This project involved $1.1 million in various improvements to parks and trails, enhancing pedestrian and biking infrastructure."
Minnesota,Minnetonka,Trail Expansion,Transport Emissions,In Progress,"$4,644,041",4644041.0,"This project involves the expansion of the city’s trail system, promoting pedestrian and bike transportation to reduce transport emissions."
Minnesota,Minnetonka,Recycling Services,Waste Management,In Progress,"$1,371,471",1371471.0,"This fund accounts for the ongoing operations of the city’s recycling services, which are a key component of waste management."
Minnesota,Minnetonka,Trail System Expansion Fund Commitment,Transport Emissions,In Progress,"$282,287",282287.0,"Contractual commitments for the expansion of the city's trail system, enhancing pedestrian and bike infrastructure."
Minnesota,Minnetonka,Street Improvement Fund Commitment,Transport Emissions,In Progress,"$150,365",150365.0,Contractual commitments for ongoing street improvement projects.
Minnesota,Minnetonka,Street Improvements Program,Transport Emissions,Planned,"$6,614,758",6614758.0,"Funds assigned for future street improvement projects, potentially including bike lanes, pedestrian paths, or signal modernization."
Minnesota,Minnetonka,Reconstruction of County State-Aid Highway 61 (Shady Oak Road),Transport Emissions,Completed,Not stated,,"Reconstruction project for a major county state-aid highway, funded by G.O. State-Aid Street Bonds, Series 2008A."
Minnesota,Minnetonka,Open Space Preservation Program (funded by Series 2016B Bonds),Transport Emissions,Completed,Not stated,,"Acquisition of property for open space preservation, supporting green infrastructure and potential pedestrian/bike paths."
Minnesota,Minnetonka,Recycling Activities,Waste Management,In Progress,Not stated,,"Ongoing operations and services related to the city's recycling program, accounted for as an Enterprise Fund activity."
Minnesota,Minnetonka,Trail System Expansion Fund,Transport Emissions,In Progress,"$1,752,592",1752592.0,"Fund established for the expansion of the city's trail system, promoting pedestrian and cycling infrastructure."
Minnesota,Minnetonka,Livable Communities Housing Fund,Transport Emissions,In Progress,Not stated,,"Fund established for programs designed to better link jobs, housing, and transit, promoting sustainable transportation."
Minnesota,Minnetonka,Parks and Trails Fund,Transport Emissions,In Progress,Not stated,,"Fund established for the purchase and development of park land, including the creation of trails for pedestrian and recreational use."
Minnesota,Minnetonka,Trail System Expansion,Transport Emissions,Completed,"$109,773",109773.0,"Capital expenditure for expanding the city's trail system, promoting active and non-motorized transportation."
Minnesota,New brighton,Street reconstruction and street utility infrastructure projects,Transport Emissions,In Progress,"$3,631,176",3631176.0,"This project involves the reconstruction of city streets and associated utility infrastructure, which may include improvements such as pedestrian paths, bike lanes, signal modernization, and energy-efficient street lighting."
Minnesota,New brighton,Pavement Management Program,Transport Emissions,Planned,Not stated,,"An ongoing program established to replace parking lots, trails, tennis courts, and hard courts, which includes the development and maintenance of pedestrian paths (trails)."
Minnesota,New brighton,Comprehensive Park and Trail System Plan - Phase 1,Transport Emissions,In Progress,$9.9 Million,9900000.0,"Phase 1 of the Comprehensive Park and Trail System Plan, financed by $9.9 million in bonds, includes work on various parks and their trail systems, enhancing pedestrian paths."
Minnesota,New brighton,2024 Street Rehabilitation,Transport Emissions,In Progress,"5,740,692",5740692.0,General street improvements are part of transport infrastructure.
Minnesota,New brighton,Old Hwy 8 Road Design,Transport Emissions,In Progress,"755,336",755336.0,"Design work for a road project, which is part of transport infrastructure."
Minnesota,New brighton,Old Hwy 8 Road Lane Conversion,Transport Emissions,In Progress,"6,837,878",6837878.0,Modifying road lanes to improve traffic flow and transport efficiency.
Minnesota,New brighton,2017 LED street lights replacement project along Silver Lake Road,Energy Efficiency,Completed,"$275,000",275000.0,Replacement of street lights with energy-efficient LED technology.
Minnesota,New brighton,2019 Apache Hills curb replacements,Transport Emissions,Completed,"$700,000",700000.0,Replacement of curbs as part of street infrastructure improvements.
Minnesota,New brighton,2020 Apache Hills curb replacements,Transport Emissions,Completed,"$500,000",500000.0,Replacement of curbs as part of street infrastructure improvements.
Minnesota,New brighton,"variety of street light projects in 2020, including pole replacements, re-lamping and LED installations",Energy Efficiency,Completed,"$600,000",600000.0,"Various street light improvements, including the installation of energy-efficient LEDs."
Minnesota,New brighton,2021 street lights project,Energy Efficiency,Completed,"$100,000",100000.0,"Project for street light infrastructure, likely including energy efficiency upgrades."
Minnesota,New brighton,2023 street light projects,Energy Efficiency,Completed,"$300,000",300000.0,"Project for street light infrastructure, likely including energy efficiency upgrades."
Minnesota,New brighton,New Brighton Exchange redevelopment project - West Side contamination cleanup,Waste Management,Completed,Not stated,,"Remediation of environmental contamination from former industries, including removal of contaminated soils."
Minnesota,New brighton,New Brighton Exchange redevelopment project - East Side dump closure monitoring and gas collection/venting systems,Waste Management,In Progress,"approximately $1,358,000",1358000.0,"Management of a former private dump, including gas collection and venting systems for decomposing organic waste."
Minnesota,New brighton,Recycling,Waste Management,In Progress,"$379,640",379640.0,This expenditure covers the city's ongoing recycling program for waste management.
Minnesota,New brighton,Streetlight Network Expansion and Modernization,Energy Efficiency,In Progress,Not stated,,"Ongoing expansion and modernization of the city's streetlight network, which typically involves the installation of energy-efficient LED lighting."
Minnesota,Richfield,I-494 Project 1,Transport Emissions,In Progress,Richfield’s share totaling approximately $2.6 million,2600000.0,"This project involves highway improvements, E-Z Pass lanes, a new pedestrian bridge, and frontage road reconstruction to minimize congestion and improve active transportation."
Minnesota,Richfield,I-494 Project 2,Transport Emissions,Planned,financial contribution by the City is expected to be minimal,,"This project includes construction of EZ-Pass lanes, replacement of a railroad bridge, and frontage road construction to improve traffic flow."
Minnesota,Richfield,Nicollet Avenue Reconstruction,Transport Emissions,Planned,"city contributing $9,280,000",9280000.0,"This project includes road reconstruction, traffic calming, and new pedestrian and bicycle accommodation to improve active transportation options."
Minnesota,Richfield,Sanitary Sewer Lining,Waste Management,In Progress,Not stated,,"This is an ongoing reinvestment project to line the sanitary sewer system, which is a key component of wastewater management infrastructure."
Minnesota,Richfield,Active Transportation Plan,Transport Emissions,Completed,Not stated,,"This plan was completed to guide future pedestrian, bicyclist, and ADA improvements, promoting active transportation."
Minnesota,Richfield,66th Street and Richfield Parkway Pedestrian Improvements,Transport Emissions,Completed,"$302,000",302000.0,This project constructed rectangular rapid flashing beacons and reconstructed pedestrian ramps at 66th Street and Richfield Parkway to improve pedestrian safety and access.
Minnesota,Richfield,Safe Routes to School Planning,Transport Emissions,In Progress,"total amount of funding secured for SRTS was approximately $1,261,000",1261000.0,"This ongoing planning effort secures funding and implements projects like pedestrian crossings, bike lanes, and sidewalks to improve safety for students walking and biking to school."
Minnesota,Richfield,71st Street Sidewalk Construction,Transport Emissions,Completed,"$210,000 project total",210000.0,A new sidewalk was completed on 71st Street as part of the Safe Routes to School program to improve pedestrian access.
Minnesota,Richfield,Centennial Elementary School Trail,Transport Emissions,Planned,"$635,000",635000.0,This project involves constructing a new trail at Centennial Elementary School to enhance safe routes for students.
Minnesota,Richfield,STEM/RDLS Separated Bike Lane,Transport Emissions,Planned,"$586,225",586225.0,This project involves installing a separated bike lane at STEM/RDLS to improve bicyclist safety for students.
Minnesota,Richfield,Sheridan Hills Elementary School Project,Transport Emissions,Planned,"$544,500",544500.0,"This project, funded by an SRTS grant, will be constructed at Sheridan Hills Elementary School to improve safe routes for students."
Minnesota,Richfield,Regional Solicitation Sidewalk Expansion and Intersection Reconstruction Projects,Transport Emissions,Planned,"totaled $1,900,000 in state active transportation funding and $2,700,000 in federal formula funding",4600000.0,Funding was secured for two sidewalk expansion projects and an intersection reconstruction to enhance active transportation infrastructure.
Minnesota,Richfield,66th Street and Richfield PKWY,Transport Emissions,In Progress,"$1,047,654",1047654.0,A street construction project that can improve traffic flow and potentially reduce transport emissions.
Minnesota,Richfield,77th Street Underpass,Transport Emissions,In Progress,"$1,678",1678.0,"An underpass construction project to improve traffic flow and safety, impacting transport emissions."
Minnesota,Richfield,Energy improvements for the City's Ice Arena,Energy Efficiency,In Progress,"$372,707",372707.0,An advance was made to finance energy improvements at the City's Ice Arena to enhance energy efficiency.
Minnesota,Richfield,Street Light User Fee Special Revenue Fund,Energy Efficiency,In Progress,"$206,585",206585.0,"This fund manages revenues and expenditures for street lighting, which includes ongoing operations and potential energy efficiency upgrades like LED conversions."
Minnesota,Red wing,Sturgeon Lake Road Rail Grade Separation project,Transport Emissions,In Progress,$14.762 million in funding (2017) and additional $10 million in funding (2020),24762000.0,This project addresses rail safety and access concerns through the separation of rail and road grades.
Minnesota,Red wing,Reconstruction of a significant portion of 7th Street and its underground utilities,Transport Emissions,In Progress,Not stated,,This project involves the reconstruction of a heavily used multi-modal transportation corridor to improve safety and traffic flow.
Minnesota,Red wing,Regional Trails Improvements,Transport Emissions,Completed,Not stated,,"This project involved improvements to regional trails, enhancing recreational opportunities and livability."
Minnesota,Red wing,Street Related Transportation Improvements Program,Transport Emissions,Planned,Nearly $17.8 million of street related transportation improvements are being planned over the next 5 years with approximately $424k for 2025,17800000.0,This program involves planned street-related transportation improvements over the next five years.
Minnesota,Red wing,2024 John Deere Recycling Utility Vehicle,Waste Management,Completed,Not stated,,Acquisition of a utility vehicle specifically for recycling operations.
Minnesota,Red wing,Terminator Grinder/Shredder,Waste Management,Completed,Not stated,,Acquisition of equipment for grinding and shredding various waste materials.
Minnesota,Red wing,Safe Route to School Intersection,Transport Emissions,In Progress,Not stated,,Construction project to create a safe route for pedestrians and cyclists to school.
Minnesota,Red wing,Fuel System Replacement,Energy Efficiency,In Progress,Not stated,,"Replacement of a fuel system, likely for improved energy efficiency or compliance."
Minnesota,Red wing,Transit,Transport Emissions,Planned,"$57,400",57400.0,"Planned expenditure for transit services to reduce transport emissions, though no actual expenditure occurred in 2024."
Minnesota,Red wing,Green Revolving capital project fund,Energy Efficiency,In Progress,"$75,000 (transfer)",75000.0,"This capital project fund receives transfers to finance projects that promote environmental sustainability, typically including energy efficiency and renewable energy initiatives."
Minnesota,Red wing,TH58 Pedestrian & Bike Safety,Transport Emissions,Unknown,"$27,002 (deficit)",27002.0,"This capital project focuses on improving pedestrian and bike safety along TH58, promoting active and low-emission transportation."
Minnesota,Red wing,2023 Street Reconstruction Project,Transport Emissions,In Progress,Not stated,,"This project involves the reconstruction of city streets, aiming to improve road infrastructure and potentially traffic flow."
Minnesota,Red wing,Sturgeon Lake Road Overpass,Transport Emissions,In Progress,Not stated,,"This project involves the construction or improvement of an overpass on Sturgeon Lake Road, enhancing transport infrastructure."
Minnesota,Red wing,Safe Routes to School programs,Transport Emissions,In Progress,Not stated,,"Programs designed to create safe, convenient, and fun opportunities for children to walk and bicycle to and from school, reducing transport emissions."
Minnesota,Red wing,Refuse Collection & Recycling,Waste Management,In Progress,Not stated,,"This fund accounts for the ongoing collection of refuse and the operation of recycling programs, contributing to waste management."
Minnesota,Red wing,Green Revolving,Transport Emissions,In Progress,"$115,561",115561.0,"This fund is used for environmental projects, specifically mentioning charging stations and electric vehicles."
Minnesota,Red wing,Sidewalk Construction Project,Transport Emissions,In Progress,"$138,954",138954.0,"This fund accounts for capital expenditures incurred in the construction of various sidewalk projects, promoting pedestrian activity."
Minnesota,Red wing,Composting,Waste Management,In Progress,"$22,009",22009.0,This represents the annual expenditures for the city's composting program.
Minnesota,Red wing,Cannon Valley Bike Trail,Transport Emissions,In Progress,"$48,798",48798.0,"This project involves capital expenditures for the Cannon Valley Bike Trail, promoting non-motorized transportation."
Minnesota,Red wing,Airport Projects,Transport Emissions,In Progress,"$861,614",861614.0,"Funding for various airport improvement projects, supporting air transportation infrastructure."
Minnesota,Red wing,Safe Routes to Schools,Transport Emissions,In Progress,"$144,191",144191.0,"Funding for the Safe Routes to Schools program, promoting pedestrian and bike safety and reducing transport emissions."
Minnesota,Red wing,G.O. Solid Waste Revenue Bonds 2019A,Waste Management,In Progress,"$5,955,000",5955000.0,"Funding mechanism for solid waste management initiatives, supporting recycling, composting, or landfill operations."
